(116984, 160)
(67696, 161)
(116985, 161)
(110108, 256)
(110107, 257)
(110106, 258)
(159531, 258)
(40576, 305)
(40577, 306)
(40578, 307)
(42457, 307)
(1265, 732)
(110677, 732)
(46419, 899)
(165265, 899)
(165266, 900)
(165267, 901)
(177778, 1055)
(130252, 1056)
(177779, 1056)
(8076, 1948)
(150229, 1948)
(44984, 2006)
(176543, 2006)
(45592, 2523)
(45591, 2524)
(66323, 2524)
(173783, 2524)
(29839, 3119)
(29838, 3120)
(51380, 3120)
(29837, 3121)
(165148, 3461)
(101085, 3462)
(138976, 3462)
(165149, 3462)
(101086, 3463)
(138977, 3463)
(138648, 3569)
(160074, 3673)
(123902, 3782)
(119981, 3783)
(123901, 3783)
(155730, 3783)
(44223, 4433)
(29064, 4531)
(22477, 5041)
(158290, 5041)
(46372, 5894)
(87792, 5894)
(145029, 5894)
(46373, 5895)
(46374, 5896)
(1265, 6014)
(110677, 6014)
(1266, 6015)
(95513, 6663)
(113212, 6663)
(46419, 6710)
(165265, 6710)
(45591, 7443)
(66323, 7443)
(173783, 7443)
(42434, 7582)
(117365, 7582)
(26399, 7895)
(39886, 7895)
(39887, 7896)
(39888, 7897)
(145660, 8106)
(29838, 8230)
(51380, 8230)
(139941, 8314)
(123902, 8386)
(119981, 8387)
(123901, 8387)
(155730, 8387)
(123900, 8388)
(84118, 8644)
(116237, 9677)
(40140, 9678)
(60900, 9678)
(116236, 9678)
(116235, 9679)
(8076, 10075)
(150229, 10075)
(40138, 10168)
(40139, 10169)
(60899, 10169)
(40140, 10170)
(60900, 10170)
(116236, 10170)
(60901, 10171)
(3657, 10342)
(92567, 10687)
(140863, 10687)
(92568, 10688)
(45960, 10780)
(45961, 10781)
(170182, 10781)
(27620, 10811)
(27621, 10812)
(15785, 10921)
(15786, 10922)
(61845, 10922)
(13928, 11072)
(192937, 11354)
(28169, 11622)
(28170, 11623)
(120608, 11623)
(28171, 11624)
(28172, 11625)
(92567, 11805)
(140863, 11805)
(160213, 11864)
(145094, 11865)
(160212, 11865)
(152891, 12529)
(152892, 12530)
(152893, 12531)
(152894, 12532)
(145030, 13097)
(46372, 13098)
(87792, 13098)
(145029, 13098)
(97708, 13159)
(97707, 13160)
(137331, 13160)
(155731, 13807)
(119981, 13808)
(123901, 13808)
(155730, 13808)
(44984, 13973)
(176543, 13973)
(58033, 14477)
(58032, 14478)
(101586, 14496)
(101587, 14497)
(101588, 14498)
(46373, 14720)
(46372, 14721)
(87792, 14721)
(145029, 14721)
(46371, 14722)
(87791, 14722)
(87790, 14723)
(45589, 14740)
(45590, 14741)
(45591, 14742)
(66323, 14742)
(173783, 14742)
(66324, 14743)
(173784, 14743)
(40140, 15142)
(60900, 15142)
(116236, 15142)
(101085, 15370)
(138976, 15370)
(165149, 15370)
(101086, 15371)
(138977, 15371)
(101087, 15372)
(97707, 15481)
(137331, 15481)
(69160, 15951)
(69159, 15952)
(69158, 15953)
(147479, 15953)
(69157, 15954)
(69156, 15955)
(39887, 16524)
(26399, 16525)
(39886, 16525)
(39885, 16526)
(30474, 16703)
(45960, 16805)
(45961, 16806)
(170182, 16806)
(107510, 16865)
(107511, 16866)
(107512, 16867)
(101085, 17611)
(138976, 17611)
(165149, 17611)
(165148, 17612)
(67696, 17718)
(116985, 17718)
(67697, 17719)
(67698, 17720)
(160213, 17820)
(145094, 17821)
(160212, 17821)
(42435, 17852)
(42434, 17853)
(117365, 17853)
(42433, 17854)
(15786, 18219)
(61845, 18219)
(15785, 18220)
(64730, 18604)
(64729, 18605)
(131240, 18751)
(131241, 18752)
(172664, 18752)
(172665, 18753)
(120607, 18778)
(28170, 18779)
(120608, 18779)
(28171, 18780)
(28172, 18781)
(28173, 18782)
(22477, 18835)
(158290, 18835)
(95510, 18925)
(95511, 18926)
(95512, 18927)
(95513, 18928)
(113212, 18928)
(95514, 18929)
(36396, 19361)
(131241, 19416)
(172664, 19416)
(27817, 19604)
(110105, 19876)
(110106, 19877)
(159531, 19877)
(92567, 19898)
(140863, 19898)
(69158, 20078)
(147479, 20078)
(40578, 20564)
(42457, 20564)
